Yosemite National Park,37.8651,119.5383,CA
Everglades National Park,25.2866,80.8987,FL
Yellowstone National Park,44.428,110.5885,WY
San Antonio Missions National Historical Park,29.3604,98.4792,TX
Times Square,40.758,73.9855,NY
Pictured Rocks National Lakeshore,46.5216,86.4551,MI
Beacon Hill,42.3588,71.0707,MA
Valley of Fire State Park,36.5073,114.5352,NV
The Wave,37.0424,112.5122,AZ
One World Trade Center,40.7127,74.0134,NY
Badlands National Park,43.8554,102.3397,SD
360 Chicago Observation Deck,41.8989,87.6235,IL
Devils Tower,44.5902,104.7146,WY
Olympic National Park,47.8021,123.6044,WA
Brooklyn Bridge,40.7061,73.9969,NY
Malibu,34.0259,118.7798,CA
Chrysler Building,40.7516,73.9755,NY
Venice Beach,33.985,118.4695,CA
Rocky Mountains National Park,40.3428,105.6836,CO
Napa Valley,38.5025,122.2654,CA
Guggenheim Museum,40.783,73.959,NY
Catalina Island,33.3879,118.4163,CA
Santa Monica,34.0195,118.4912,CA
Redwood National Park,41.2132,24.0046,CA
Golden Gate Bridge,37.8199,122.4783,CA
SeaWorld,28.4097,81.4597,FL
Horseshoe Bend,36.8791,111.5104,AZ
French Quarter,29.9584,90.0644,LA
Saint Augustine,29.9012,81.3124,FL
Montezuma Castle,34.6116,111.835,IN
Great Smoky Mountains National Park,35.6131,83.5532,TN
Chimney Rock,35.4393,82.2465,NC
Madison Square Garden,40.7505,73.9934,NY
Crater Lake,42.9446,122.109,OR
Dakota Building,40.7765,73.9761,NY
Mount Hood National Forest,45.3298,121.7132,OR
Isle Royale National Park,47.9959,88.9093,MI
Fairmount Park,39.9881,75.1971,PA
Mono Lake,38.0128,118.9762,CA
Central Park,40.7812,73.9665,NY
Washington Monument,38.8895,77.0353,DC
The Pentagon,38.8719,77.0563,VA
Beverly Hills,34.0736,118.4004,CA
Mesa Verde National Park,37.2309,108.4618,CO
Apostle Islands,47.0027,90.6908,WI
The White House,38.8977,77.0365,DC
The Statue of Liberty,40.6892,74.0445,NY
Zion National Park,37.2982,113.0263,UT
La Jolla Beach,32.8503,117.273,CA
Field Museum of Natural History,41.8663,87.617,IL
Oneonta Gorge,45.5792,122.0723,OR
Mount Rushmore,43.8791,103.4591,SD
Hamilton Pool Preserve,30.3423,98.1271,TX
Graceland Mansion,35.0477,90.026,TN
Empire State Building,40.7484,73.9857,NY
Hollywood,34.0928,118.3287,CA
Flatiron Building,40.7411,73.9897,NY
Cathedral Basilica of Saint Louis,38.6425,90.2547,MO
Atlantic City,39.3643,74.4229,NJ
Savannah,32.0809,81.0912,GA
Space Needle,47.6205,122.3493,WA
Cannon Beach,45.8918,123.9615,OR
Gulf State Park,30.2684,87.6342,OR
The Glass Beaches of Fort Bragg,39.4526,123.8135,CA
Mount Rainier National Park,46.88,121.7269,WA
Art Deco Historic District Miami Beach,25.7803,80.1304,FL
Havasu Creek,34.483696,114.325638,AZ
Museum of Modern Art – MoMA,40.7614,73.9776,NY
Glacier National Park,48.7596,113.787,MO
Key West,24.5551,81.78,FL
The Gateway Arch St. Louis,38.6247,90.1848,MI
Niagara Falls,43.0962,79.0377,NY
Arches National Park,38.7331,109.5925,UT
Mammoth Cave National Park,37.1862,86.1,KY
Walk of Fame,34.1016,118.3267,CA
Alcatraz Island,37.827,122.423,CA
Antelope Canyon,6.8619,111.3743,AZ
Three Pools,44.839,122.3119,OR
Las Vegas Strip,36.1147,115.1728,NV
Disneyland,33.8121,117.919,CA
Emerald Coast,30.3935,86.4958,FL
Monument Valley,36.998,110.0985,AZ
Cape Cod,41.6688,70.2962,MA
Dry Tortugas National Park,24.6285,82.8732,FL
Grand Canyon National Park,36.1069,112.1129,AZ
Death Valley,36.5323,116.9325,CA
Aspen,39.1911,106.8175,CO
White Sands National Monument,32.7872,106.3257,NM
Joshua Tree National Park,33.8734,115.901,CA
